Country,Year,District,District_Name,Party.A.Votes,Party.A.Seats,Party.B.Votes,Party.B.Seats,Party.C.Votes,Party.C.Seats,Party.D.Votes,Party.D.Seats,Party.E.Votes,Party.E.Seats,Party.F.Votes,Party.F.Seats,Party.G.Votes,Party.G.Seats,Party.H.Votes,Party.H.Seats,Others.Votes,Others.Seats
Finland,2003,8,Etela-Savo,4806,1,34192,3,11273,1,471,0,27024,2,2287,0,3413,0,0,0,1042,0
Finland,2003,5,Hame,18437,1,34753,3,41125,3,918,0,60228,5,16780,1,11422,1,0,0,5160,0
Finland,2003,1,Helsinki,11205,0,26460,2,77564,6,17349,1,79043,6,22875,1,59467,4,22850,1,7568,0
Finland,2003,11,Keski-Suomi (Central Finland),10275,1,48524,4,19733,1,519,0,35441,3,13189,1,9012,0,0,0,2269,0
Finland,2003,7,Kymi,9439,0,44135,3,34907,3,715,0,59593,5,11964,1,7766,0,0,0,2869,0
Finland,2003,14,Lappi,841,0,45587,3,10401,1,164,0,14716,1,26028,2,2150,0,221,0,1657,0
Finland,2003,13,Oulu,12330,1,108303,9,22356,2,1175,0,32504,2,35572,3,14046,1,346,0,4961,0
Finland,2003,6,Pirkanmaa,14988,1,40929,3,56428,5,1219,0,63356,5,30936,2,24001,2,0,0,15197,0
Finland,2003,10,Pohjois-Karjala,3799,0,33022,3,8486,0,636,0,30632,3,4327,1,5764,1,0,0,1139,0
Finland,2003,9,Pohjois-Savo,12090,0,49287,4,15419,1,852,0,26944,2,15477,2,7400,0,0,0,1678,0
Finland,2003,4,Satakunta,5864,0,36242,3,21652,2,1931,0,38287,3,19337,1,4489,0,0,0,1170,0
Finland,2003,2,Uusimaa,15964,1,60553,5,104631,8,5215,1,114675,9,40783,3,47038,4,46207,3,13052,0
Finland,2003,12,Vaasa,19348,1,83609,7,28462,2,11245,1,38996,3,10812,0,5968,0,45936,3,2286,0
Finland,2003,3,Varsinais Suomi (South-West Finland),9579,1,43551,3,64734,5,842,0,61380,4,26391,2,21331,1,13056,1,7383,0
