Country,Year,District,District_Name,Party.A.Votes,Party.A.Seats,Party.B.Votes,Party.B.Seats,Party.C.Votes,Party.C.Seats,Party.D.Votes,Party.D.Seats,Party.E.Votes,Party.E.Seats,Others.Votes,Others.Seats
Portugal,2005,9997,Acores,2661,0,1556,0,3642,0,31494,2,48636,3,1573,0
Portugal,2005,1,Aveiro,19833,0,13784,0,30846,1,139062,6,160227,8,14828,0
Portugal,2005,2,Beja,4144,0,21034,1,2562,0,10729,0,44554,2,2391,0
Portugal,2005,3,Braga,22187,0,23003,1,37656,1,158233,7,218589,9,10961,0
Portugal,2005,4,Braganca,2024,0,1691,0,8035,0,32403,2,34948,2,1597,0
Portugal,2005,5,Castelo Branco,4644,0,4682,0,6559,0,33115,1,69635,4,2147,0
Portugal,2005,6,Coimbra,15442,0,13462,0,13715,0,78052,4,111040,6,4200,0
Portugal,2005,7,Evora,4463,0,20245,1,3594,0,16170,0,48080,2,2118,0
Portugal,2005,8,Faro,15316,0,13835,0,11537,0,49098,2,98575,6,4737,0
Portugal,2005,9,Guarda,3439,0,2958,0,7009,0,35008,2,47193,2,2030,0
Portugal,2005,10,Leiria,13788,0,11423,0,22044,1,99144,5,88623,4,5136,0
Portugal,2005,11,Lisboa,103971,4,115571,5,97652,4,280448,12,523358,23,26966,0
Portugal,2005,9998,Madeira,5263,0,5078,0,9135,0,63374,3,49070,3,4407,0
Portugal,2005,9999,Portalegre,3264,0,8585,0,2997,0,14389,0,38910,2,1190,0
Portugal,2005,13,Portao,66977,2,54292,2,68297,2,278394,12,486264,20,19042,0
Portugal,2005,14,Santarem,16592,0,21882,1,17607,0,67016,3,117183,6,5675,0
Portugal,2005,15,Setubal,43851,2,85379,3,21614,1,68708,3,187135,8,10034,0
Portugal,2005,16,Viana do Castelo,6412,0,5634,0,16214,1,47643,2,59678,3,2992,0
Portugal,2005,17,Vila Real,3007,0,3113,0,8520,0,50767,2,55260,2,2087,0
Portugal,2005,18,Viseu,7131,0,4793,0,18499,1,86010,4,86459,4,4001,0
